epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2279,0.79548,2.36862,1.20697,0.00222,1,0.86037,0.69464,0.76944,3.23934,1.05527,0.00036,0.00036,0.00036
2,19.4467,0.79392,1.61273,1.20216,0.00222,1,0.25349,0.20208,0.80782,3.31611,1.16506,0.000732674,0.000732674,0.000732674
3,22.6264,0.85733,1.46801,1.23175,0.00222,1,0.05706,0.01393,2.43889,5.0682,2.29119,0.00109782,0.00109782,0.00109782
4,25.8036,0.85015,1.48634,1.21854,0.00308,1,0.09961,0.04521,1.92578,4.73683,2.40607,0.00145545,0.00145545,0.00145545
5,28.8328,0.89936,1.37759,1.21926,0.13825,0.28925,0.10707,0.0762,1.53152,4.32304,2.05181,0.00180555,0.00180555,0.00180555
6,31.8705,0.93446,1.26972,1.24575,0.24359,0.09744,0.03941,0.00445,3.10672,nan,5.30053,0.001901,0.001901,0.001901
7,34.8145,0.90911,1.20868,1.22741,0,0,0,0,4.44479,351.118,20.1373,0.0018812,0.0018812,0.0018812
8,37.8263,0.76403,1.03667,1.12701,0.21853,0.3,0.16863,0.10001,1.136,3.31207,1.51313,0.0018614,0.0018614,0.0018614
9,40.8495,0.79551,1.04313,1.15747,0.90896,0.4,0.449,0.19154,1.70334,3.13119,1.95193,0.0018416,0.0018416,0.0018416
10,43.914,0.7921,1.02566,1.14298,0.61908,0.8,0.68004,0.56215,0.65908,1.70606,1.00818,0.0018218,0.0018218,0.0018218
11,46.8888,0.76879,0.95265,1.15278,0.73763,0.9,0.82278,0.68776,0.73008,1.46264,1.02284,0.001802,0.001802,0.001802
12,49.9279,0.78476,0.91468,1.13352,0.67921,1,0.84143,0.62112,0.82786,2.73149,1.19318,0.0017822,0.0017822,0.0017822
13,52.854,0.81016,0.91058,1.1503,0.79114,0.4,0.54613,0.42896,1.22788,2.50642,1.43322,0.0017624,0.0017624,0.0017624
14,55.9595,0.79805,0.8664,1.14833,0.65379,0.7575,0.76192,0.576,0.98536,1.36712,1.22355,0.0017426,0.0017426,0.0017426
15,58.9243,0.77945,0.84316,1.15463,0.62017,0.9,0.67858,0.57496,0.67426,1.74543,0.97914,0.0017228,0.0017228,0.0017228
16,61.9063,0.71642,0.77999,1.10063,0.68993,0.89072,0.71473,0.61971,0.59678,1.75672,0.9803,0.001703,0.001703,0.001703
17,64.885,0.73723,0.78568,1.11372,0.75178,0.7,0.70814,0.62206,0.62694,1.84498,0.97034,0.0016832,0.0016832,0.0016832
18,67.9713,0.7364,0.80757,1.10773,0.68104,0.9,0.76263,0.6093,0.70475,1.01765,0.99007,0.0016634,0.0016634,0.0016634
19,70.986,0.70683,0.72265,1.10411,0.89777,0.87992,0.95167,0.72653,0.63066,0.811,0.97676,0.0016436,0.0016436,0.0016436
20,74.0297,0.73017,0.72167,1.09768,0.73233,0.9,0.80056,0.68557,0.66907,1.1797,1.02405,0.0016238,0.0016238,0.0016238
21,76.9205,0.74126,0.73197,1.11346,0.76847,0.99602,0.76538,0.57513,0.77102,0.95809,1.08252,0.001604,0.001604,0.001604
22,80.0127,0.68046,0.69018,1.05488,0.74841,1,0.81855,0.66907,0.59171,0.78438,0.95928,0.0015842,0.0015842,0.0015842
23,82.9822,0.68051,0.68299,1.07837,0.65841,1,0.66333,0.53238,0.72251,1.35757,0.97606,0.0015644,0.0015644,0.0015644
24,85.9514,0.67933,0.68078,1.07014,0.73896,1,0.91056,0.78194,0.62252,1.32026,0.97221,0.0015446,0.0015446,0.0015446
25,88.8921,0.67374,0.64088,1.09832,0.58658,0.4,0.51498,0.41971,0.74229,1.79055,1.02579,0.0015248,0.0015248,0.0015248
26,92.0222,0.67281,0.64129,1.08455,0.68579,1,0.73456,0.54923,0.8041,1.37019,1.07587,0.001505,0.001505,0.001505
27,95.0596,0.66969,0.6476,1.07411,0.70348,1,0.86635,0.69501,0.78333,1.06887,1.15349,0.0014852,0.0014852,0.0014852
28,98.1688,0.62509,0.63954,1.05738,0.76515,0.97877,0.83126,0.68242,0.71496,0.81027,1.01407,0.0014654,0.0014654,0.0014654
29,101.16,0.6501,0.62484,1.06937,0.76243,1,0.895,0.76397,0.63815,0.83431,0.96167,0.0014456,0.0014456,0.0014456
30,104.245,0.63333,0.60011,1.04222,0.90663,0.97294,0.95864,0.77554,0.75596,0.63985,1.09795,0.0014258,0.0014258,0.0014258
31,107.338,0.62288,0.59434,1.03739,0.8166,1,0.93136,0.77756,0.64547,1.01817,0.96985,0.001406,0.001406,0.001406
32,110.423,0.63949,0.61235,1.058,0.80746,1,0.90611,0.76282,0.65611,0.63792,1.00244,0.0013862,0.0013862,0.0013862
33,113.4,0.67029,0.57822,1.06277,0.6112,1,0.78835,0.61454,0.58263,0.87233,0.9685,0.0013664,0.0013664,0.0013664
34,116.49,0.65392,0.57511,1.0317,0.82723,1,0.8569,0.67546,0.76943,0.59391,1.09819,0.0013466,0.0013466,0.0013466
35,119.531,0.62724,0.56703,1.03139,0.75948,1,0.84465,0.70826,0.63327,0.61,0.95954,0.0013268,0.0013268,0.0013268
36,122.549,0.55374,0.52409,1.00514,0.70938,1,0.83706,0.695,0.67338,0.66301,0.97219,0.001307,0.001307,0.001307
37,125.641,0.6196,0.56555,1.03756,0.73733,0.9,0.78667,0.67778,0.60799,0.81989,0.95208,0.0012872,0.0012872,0.0012872
38,128.665,0.58747,0.52819,1.00925,0.70676,1,0.74457,0.62287,0.59855,0.84948,0.95122,0.0012674,0.0012674,0.0012674
39,131.626,0.60767,0.55078,1.02769,0.70622,1,0.76538,0.60362,0.64244,0.75593,0.95492,0.0012476,0.0012476,0.0012476
40,134.654,0.59454,0.52816,1.0242,0.75637,1,0.8492,0.71287,0.70613,0.60876,1.01452,0.0012278,0.0012278,0.0012278
41,137.662,0.55796,0.50892,1.00702,0.70237,1,0.82143,0.69103,0.63376,0.62375,0.94732,0.001208,0.001208,0.001208
42,140.661,0.56948,0.50987,1.01894,0.6277,0.9,0.83345,0.67148,0.71567,0.76258,0.9698,0.0011882,0.0011882,0.0011882
43,143.675,0.55578,0.52179,1.0152,0.76156,1,0.95192,0.81166,0.6134,0.52568,0.96012,0.0011684,0.0011684,0.0011684
44,146.686,0.54334,0.54126,0.99538,0.62111,1,0.79639,0.68429,0.57738,0.60774,0.94081,0.0011486,0.0011486,0.0011486
45,149.679,0.52485,0.48909,0.99262,0.7057,1,0.77,0.65922,0.67551,0.61509,0.96583,0.0011288,0.0011288,0.0011288
46,152.673,0.52569,0.51178,0.98294,0.65688,1,0.84436,0.70693,0.62896,0.59812,0.94729,0.001109,0.001109,0.001109
47,155.709,0.52082,0.48417,1.00079,0.70083,1,0.745,0.59906,0.65238,0.7416,0.96179,0.0010892,0.0010892,0.0010892
