epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,225.061,0.58978,0.62097,1.03383,0.90692,0.92857,0.88349,0.74362,0.60401,0.57579,1.25981,0.000990365,0.000990365,0.000990365
43,230.06,0.5816,0.72862,1.02121,0.90648,0.92857,0.89493,0.7702,0.62992,0.51612,1.23426,0.000973861,0.000973861,0.000973861
44,235.134,0.60338,0.64863,1.03911,0.90914,0.88426,0.89342,0.73143,0.5318,0.52782,1.13318,0.000957358,0.000957358,0.000957358
45,240.169,0.58437,0.56584,1.04682,0.87019,0.92293,0.88843,0.70484,0.63749,0.53932,1.28704,0.000940855,0.000940855,0.000940855
46,245.059,0.58779,0.58224,1.03482,0.85701,0.90951,0.87682,0.69559,0.62921,0.52726,1.22467,0.000924352,0.000924352,0.000924352
47,250.011,0.5546,0.56733,0.99945,0.87046,0.85055,0.85358,0.70469,0.81968,0.61294,1.41502,0.000907848,0.000907848,0.000907848
48,255.039,0.59802,0.59955,1.03938,0.87306,0.77857,0.8738,0.68956,0.81483,0.78007,1.44072,0.000891345,0.000891345,0.000891345
49,260.026,0.5481,0.54897,1.02774,0.78249,0.92857,0.82136,0.64027,0.64749,0.60805,1.21132,0.000874842,0.000874842,0.000874842
50,265.03,0.5481,0.54868,1.02452,0.8161,0.92857,0.85364,0.67414,0.67666,0.61246,1.25244,0.000858338,0.000858338,0.000858338
51,269.981,0.57226,0.55248,1.01593,0.83842,0.91896,0.86311,0.68617,0.79287,0.5511,1.36299,0.000841835,0.000841835,0.000841835
52,274.988,0.55256,0.50528,1.01846,0.81153,0.92857,0.8638,0.72992,0.75134,0.56591,1.33183,0.000825332,0.000825332,0.000825332
53,280.17,0.53317,0.52069,1.00307,0.82768,0.97819,0.88256,0.72166,0.69653,0.5339,1.28888,0.000808828,0.000808828,0.000808828
54,285.052,0.53274,0.48486,1.01355,0.84654,0.92857,0.88694,0.73563,0.72014,0.55783,1.31987,0.000792325,0.000792325,0.000792325
55,290.136,0.5167,0.46744,1.01231,0.79269,0.92857,0.85504,0.71674,0.68459,0.55401,1.25056,0.000775822,0.000775822,0.000775822
56,295.137,0.54402,0.50111,1.01878,0.75885,0.87857,0.84462,0.70105,0.76018,0.60938,1.3839,0.000759318,0.000759318,0.000759318
57,300.005,0.54558,0.61091,1.02601,0.81015,0.92857,0.84743,0.70631,0.66235,0.4911,1.24469,0.000742815,0.000742815,0.000742815
58,304.888,0.53984,0.47619,0.98623,0.89663,0.92857,0.88406,0.72009,0.64811,0.52828,1.25179,0.000726312,0.000726312,0.000726312
59,309.819,0.50722,0.48299,0.95906,0.8706,0.92857,0.87748,0.77373,0.62759,0.50907,1.26246,0.000709809,0.000709809,0.000709809
60,314.928,0.51468,0.58063,0.96985,0.85914,0.92857,0.8535,0.7075,0.59901,0.52364,1.20449,0.000693305,0.000693305,0.000693305
61,319.94,0.51275,0.49505,1.00163,0.80452,0.92857,0.86295,0.72776,0.69494,0.51957,1.24519,0.000676802,0.000676802,0.000676802
62,324.894,0.46893,0.48199,0.95005,0.76049,0.92857,0.85357,0.7193,0.54083,0.59976,1.09912,0.000660299,0.000660299,0.000660299
63,329.868,0.46936,0.45752,0.99367,0.7827,0.92857,0.85231,0.71995,0.49862,0.6121,1.08988,0.000643795,0.000643795,0.000643795
64,334.812,0.48712,0.64317,0.95535,0.87605,0.92231,0.86183,0.6924,0.68805,0.61783,1.2387,0.000627292,0.000627292,0.000627292
65,339.886,0.50692,0.47338,0.98609,0.859,0.92857,0.86483,0.69378,0.60611,0.49867,1.19545,0.000610789,0.000610789,0.000610789
66,344.842,0.4807,0.4355,0.98295,0.79393,0.92857,0.83593,0.65002,0.64434,0.54088,1.2211,0.000594286,0.000594286,0.000594286
67,349.922,0.44694,0.41278,0.94348,0.81632,0.92857,0.82119,0.61366,0.59079,0.61849,1.1462,0.000577782,0.000577782,0.000577782
68,354.841,0.478,0.44449,0.96875,0.74121,0.85714,0.78158,0.65441,0.64579,0.52848,1.2317,0.000561279,0.000561279,0.000561279
69,359.778,0.46071,0.4838,0.95042,0.83665,0.92857,0.84028,0.68429,0.58743,0.45174,1.19531,0.000544776,0.000544776,0.000544776
70,364.79,0.47325,0.42464,0.96641,0.83447,0.92857,0.87265,0.71233,0.54718,0.48523,1.1446,0.000528272,0.000528272,0.000528272
71,369.786,0.47559,0.41035,0.97695,0.8021,0.92857,0.84252,0.71213,0.53023,0.4859,1.14762,0.000511769,0.000511769,0.000511769
72,374.855,0.44969,0.42103,0.96372,0.80493,0.92857,0.87104,0.7182,0.49445,0.43319,1.11662,0.000495266,0.000495266,0.000495266
73,379.767,0.42927,0.41263,0.93522,0.79011,0.92857,0.84754,0.74091,0.48767,0.48581,1.07172,0.000478762,0.000478762,0.000478762
74,384.73,0.42988,0.42331,0.91761,0.87152,0.82734,0.88069,0.71553,0.56462,0.49856,1.1323,0.000462259,0.000462259,0.000462259
75,389.78,0.46526,0.40985,0.97258,0.81479,0.9199,0.88661,0.72313,0.57097,0.45679,1.14755,0.000445756,0.000445756,0.000445756
76,394.752,0.44089,0.39637,0.9504,0.82502,0.92385,0.88639,0.72294,0.59459,0.4893,1.18121,0.000429253,0.000429253,0.000429253
77,399.834,0.44424,0.41864,0.97255,0.86217,0.81645,0.85679,0.73081,0.45687,0.43052,1.0804,0.000412749,0.000412749,0.000412749
78,404.875,0.41229,0.38974,0.95177,0.84462,0.92857,0.86884,0.74345,0.54113,0.46469,1.10061,0.000396246,0.000396246,0.000396246
79,409.906,0.43458,0.39063,0.96094,0.88722,0.82515,0.84332,0.72197,0.59895,0.49281,1.16125,0.000379743,0.000379743,0.000379743
80,414.847,0.42449,0.40051,0.94388,0.92633,0.81979,0.88015,0.75343,0.56995,0.47093,1.14667,0.000363239,0.000363239,0.000363239
81,419.723,0.40478,0.3658,0.92065,0.87435,0.81537,0.8699,0.74681,0.5546,0.51177,1.12193,0.000346736,0.000346736,0.000346736
82,424.729,0.4261,0.36842,0.971,0.87721,0.82283,0.86912,0.75244,0.50913,0.49903,1.09775,0.000330233,0.000330233,0.000330233
83,429.707,0.42087,0.40385,0.96885,0.88413,0.82857,0.88268,0.70991,0.53792,0.47107,1.12486,0.000313729,0.000313729,0.000313729
84,434.782,0.42271,0.35003,0.95653,0.82239,0.92285,0.89152,0.73477,0.608,0.52625,1.19618,0.000297226,0.000297226,0.000297226
85,439.653,0.4039,0.37671,0.91725,0.86858,0.77857,0.8632,0.70155,0.57378,0.48694,1.12001,0.000280723,0.000280723,0.000280723
86,444.712,0.42059,0.36037,0.95269,0.80575,0.87107,0.89397,0.72973,0.63599,0.5715,1.1855,0.00026422,0.00026422,0.00026422
87,449.712,0.40807,0.34181,0.93564,0.80532,0.86861,0.87336,0.69753,0.54863,0.55212,1.16486,0.000247716,0.000247716,0.000247716
88,454.741,0.37793,0.33991,0.91348,0.81516,0.82857,0.86711,0.71077,0.50984,0.52703,1.11883,0.000231213,0.000231213,0.000231213
89,459.84,0.37831,0.32385,0.93889,0.8786,0.81636,0.88982,0.75545,0.50147,0.46711,1.0878,0.00021471,0.00021471,0.00021471
90,464.8,0.404,0.35012,0.94612,0.86193,0.82857,0.88477,0.76675,0.52432,0.51278,1.09728,0.000198206,0.000198206,0.000198206
91,471.244,0.33415,0.28143,0.89053,0.96732,0.72857,0.83619,0.70912,0.53395,0.60661,1.11103,0.000181703,0.000181703,0.000181703
92,476.107,0.30604,0.27788,0.86456,0.90398,0.77857,0.86516,0.71496,0.58074,0.52545,1.14962,0.0001652,0.0001652,0.0001652
93,481.02,0.33186,0.26387,0.88339,0.88022,0.82857,0.86484,0.73635,0.52966,0.47386,1.11336,0.000148696,0.000148696,0.000148696
94,485.874,0.31074,0.25025,0.85052,0.80315,0.8241,0.86406,0.74764,0.49879,0.53798,1.11056,0.000132193,0.000132193,0.000132193
95,490.785,0.30166,0.24492,0.86085,0.82206,0.87857,0.87578,0.74277,0.5063,0.45405,1.10666,0.00011569,0.00011569,0.00011569
96,495.785,0.28814,0.23404,0.86797,0.86601,0.87857,0.88922,0.75681,0.53102,0.45555,1.12394,9.91865e-05,9.91865e-05,9.91865e-05
97,500.683,0.28565,0.23303,0.84256,0.91818,0.77857,0.87708,0.75538,0.52912,0.48192,1.11563,8.26832e-05,8.26832e-05,8.26832e-05
98,505.654,0.29391,0.23084,0.84822,0.78718,0.91941,0.87928,0.76412,0.49362,0.44896,1.0945,6.61799e-05,6.61799e-05,6.61799e-05
99,510.494,0.29488,0.24388,0.8766,0.93601,0.80716,0.88891,0.76505,0.49192,0.4474,1.09986,4.96766e-05,4.96766e-05,4.96766e-05
100,515.441,0.28419,0.21641,0.83153,0.91679,0.77857,0.87217,0.74857,0.50161,0.44707,1.10171,3.31733e-05,3.31733e-05,3.31733e-05
