epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0625,1.17482,2.99259,1.41593,0.00259,1,0.03362,0.01125,1.87011,3.18056,1.75622,6e-05,6e-05,6e-05
2,25.3698,1.02987,2.96727,1.46132,0.00259,1,0.88444,0.4891,1.01442,2.89702,1.2622,0.000138614,0.000138614,0.000138614
3,26.4648,0.87781,2.33916,1.25136,0.00259,1,0.92389,0.7489,0.73788,2.69398,1.02391,0.000215644,0.000215644,0.000215644
4,27.5374,0.82106,1.87249,1.24289,0.00259,1,0.86111,0.73249,0.5756,2.65219,0.89967,0.00029109,0.00029109,0.00029109
5,28.5305,0.82867,1.63935,1.15155,0.00259,1,0.9425,0.80303,0.5964,2.6404,0.90185,0.000364952,0.000364952,0.000364952
6,29.5358,0.74784,1.56849,1.18121,0.00259,1,0.92375,0.81676,0.50025,2.61789,0.88048,0.00043723,0.00043723,0.00043723
7,30.5344,0.64812,1.36355,1.06536,0.00259,1,0.84367,0.68845,0.61522,2.62348,0.93084,0.000507924,0.000507924,0.000507924
8,31.6831,0.73802,1.41839,1.18457,0.00259,1,0.59282,0.44465,0.68407,2.65055,0.99794,0.000577034,0.000577034,0.000577034
9,32.6539,0.72946,1.23796,1.14418,0.00259,1,0.68695,0.551,0.63771,2.6331,0.95172,0.00064456,0.00064456,0.00064456
10,33.6697,0.83359,1.3773,1.20436,0.00805,1,0.65909,0.53077,0.73242,2.583,0.97826,0.000710502,0.000710502,0.000710502
11,34.6733,0.90321,1.34832,1.21848,0.00796,1,0.80611,0.69305,0.54102,2.51501,0.89467,0.00077486,0.00077486,0.00077486
12,35.6982,0.80325,1.48307,1.17652,0.00259,1,0.79883,0.63916,0.64338,2.447,1.05959,0.000837634,0.000837634,0.000837634
13,36.6778,0.78834,1.3442,1.13355,0.71328,0.36562,0.80611,0.68981,0.59768,2.42191,0.96506,0.000898824,0.000898824,0.000898824
14,37.8141,0.78297,1.39338,1.16355,0.00259,1,0.84633,0.61967,0.76641,2.61116,0.98425,0.00095843,0.00095843,0.00095843
15,38.8149,0.78872,1.22915,1.12526,0.76889,0.48255,0.816,0.63029,0.81053,2.30342,1.08122,0.00101645,0.00101645,0.00101645
16,39.754,0.81456,1.2187,1.17397,0.76658,0.9424,0.80611,0.70674,0.5995,1.98051,1.0751,0.00107289,0.00107289,0.00107289
17,40.7121,0.884,1.45428,1.24503,0.76777,0.94852,0.80611,0.67048,0.68993,2.11327,1.05236,0.00112774,0.00112774,0.00112774
18,41.7218,0.77436,1.28077,1.20242,0.35127,0.14286,0.62851,0.32421,1.73091,2.79314,1.88031,0.00118101,0.00118101,0.00118101
19,42.6624,0.79611,1.25729,1.13402,0.68448,0.42857,0.66667,0.40676,1.30749,2.65216,1.38547,0.0012327,0.0012327,0.0012327
20,43.622,0.74299,1.26347,1.16292,0.70534,0.68745,0.71781,0.56236,0.93648,2.34214,1.09742,0.0012828,0.0012828,0.0012828
21,44.8107,0.81836,1.32938,1.14525,0.84429,0.14286,0.21033,0.11539,1.51688,3.64899,2.23953,0.00133132,0.00133132,0.00133132
22,45.7645,0.8617,1.3201,1.21593,0.08273,0.14286,0.0436,0.01289,1.77629,3.73311,2.68096,0.00137825,0.00137825,0.00137825
23,46.7395,0.77144,1.1186,1.16581,0.08174,0.28571,0.03204,0.00664,2.23269,4.13726,2.89658,0.0014236,0.0014236,0.0014236
24,47.724,0.8245,1.17615,1.17618,0.16236,0.36226,0.25944,0.05297,1.98208,3.6515,2.40195,0.00146737,0.00146737,0.00146737
