epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,353.242,0.64903,0.65715,1.12745,0.80632,0.90476,0.85694,0.70721,0.76717,0.77365,1.33048,0.000848969,0.000848969,0.000848969
43,360.985,0.60921,0.62719,1.10394,0.85642,0.89922,0.90407,0.75928,0.69848,0.68548,1.29917,0.000834822,0.000834822,0.000834822
44,368.737,0.59816,0.60466,1.09003,0.89107,0.8664,0.95101,0.74808,0.68054,0.63549,1.30285,0.000820675,0.000820675,0.000820675
45,376.444,0.5926,0.58071,1.09645,0.85948,0.91494,0.90949,0.76475,0.74934,0.54897,1.29521,0.000806528,0.000806528,0.000806528
46,384.336,0.63921,0.64668,1.12746,0.77219,0.95238,0.89617,0.75541,0.66443,0.63063,1.20152,0.00079238,0.00079238,0.00079238
47,392.163,0.58259,0.58146,1.09511,0.85051,0.97865,0.93994,0.76973,0.68822,0.58045,1.26837,0.000778233,0.000778233,0.000778233
48,399.839,0.56274,0.54088,1.07234,0.9091,0.88908,0.93142,0.77437,0.65594,0.65246,1.16524,0.000764086,0.000764086,0.000764086
49,407.514,0.59635,0.58653,1.09549,0.89955,0.91667,0.93611,0.74803,0.65822,0.58622,1.23999,0.000749939,0.000749939,0.000749939
50,415.274,0.55401,0.53705,1.0524,0.93677,0.86905,0.88248,0.72804,0.84025,0.70979,1.38056,0.000735792,0.000735792,0.000735792
51,423.133,0.58928,0.56998,1.09181,0.89273,0.8639,0.90421,0.75844,0.72759,0.71061,1.29854,0.000721645,0.000721645,0.000721645
52,430.95,0.57102,0.57685,1.07841,0.86829,0.9031,0.91344,0.7671,0.75581,0.68149,1.38781,0.000707498,0.000707498,0.000707498
53,438.604,0.55861,0.52015,1.06153,0.9118,0.87423,0.9138,0.76349,0.73792,0.75049,1.29537,0.000693351,0.000693351,0.000693351
54,446.333,0.53077,0.4975,1.04932,0.87634,0.91071,0.90071,0.75469,0.6322,0.61915,1.18912,0.000679204,0.000679204,0.000679204
55,454.104,0.55173,0.50865,1.06066,0.84652,0.88738,0.87445,0.74144,0.75901,0.68323,1.37221,0.000665057,0.000665057,0.000665057
56,461.768,0.52358,0.4959,1.06461,0.84554,0.86905,0.87867,0.72705,0.72906,0.72358,1.25037,0.000650909,0.000650909,0.000650909
57,469.452,0.51067,0.50623,1.05173,0.89441,0.86905,0.89113,0.76933,0.67521,0.59307,1.24568,0.000636762,0.000636762,0.000636762
58,477.34,0.51792,0.49084,1.04746,0.92579,0.89453,0.9066,0.75492,0.71152,0.59128,1.28961,0.000622615,0.000622615,0.000622615
59,485.021,0.49028,0.46808,1.03764,0.86896,0.89509,0.88258,0.7692,0.64943,0.72127,1.20675,0.000608468,0.000608468,0.000608468
60,492.656,0.52335,0.49278,1.04031,0.84344,0.86905,0.88491,0.73267,0.72366,0.87883,1.34265,0.000594321,0.000594321,0.000594321
61,500.456,0.51083,0.47711,1.04733,0.82659,0.86905,0.8992,0.76933,0.70708,0.81038,1.2736,0.000580174,0.000580174,0.000580174
62,508.335,0.51453,0.49353,1.04606,0.91179,0.87503,0.9265,0.7716,0.69785,0.60355,1.27122,0.000566027,0.000566027,0.000566027
63,516.099,0.49891,0.46687,1.03876,0.9102,0.89717,0.89964,0.75637,0.69642,0.66655,1.30243,0.00055188,0.00055188,0.00055188
64,523.786,0.48206,0.45445,1.02402,0.87311,0.89071,0.89654,0.76248,0.70256,0.63558,1.26028,0.000537733,0.000537733,0.000537733
65,531.457,0.49159,0.46964,1.03436,0.88509,0.85876,0.89519,0.7552,0.65291,0.68668,1.2286,0.000523586,0.000523586,0.000523586
66,539.227,0.48917,0.44209,1.0167,0.92983,0.85969,0.91085,0.77028,0.66917,0.6484,1.23509,0.000509438,0.000509438,0.000509438
67,546.979,0.4872,0.4461,1.02893,0.93635,0.8665,0.91642,0.80606,0.65383,0.58547,1.28135,0.000495291,0.000495291,0.000495291
68,554.687,0.49172,0.4623,1.0273,0.89662,0.86488,0.90188,0.7587,0.73406,0.68908,1.31776,0.000481144,0.000481144,0.000481144
69,562.428,0.50788,0.4452,1.0359,0.91449,0.86905,0.91282,0.78066,0.66823,0.64282,1.27471,0.000466997,0.000466997,0.000466997
70,570.202,0.45646,0.41235,1.00853,0.8907,0.88013,0.89452,0.75083,0.72281,0.76791,1.36162,0.00045285,0.00045285,0.00045285
71,577.827,0.48215,0.43441,1.01759,0.89237,0.87964,0.92208,0.77633,0.69323,0.68662,1.28623,0.000438703,0.000438703,0.000438703
72,585.554,0.47651,0.41522,1.01336,0.90771,0.90606,0.90237,0.76663,0.68774,0.70094,1.24512,0.000424556,0.000424556,0.000424556
73,593.297,0.47883,0.4401,1.01061,0.8323,0.88104,0.89741,0.74278,0.7019,0.75943,1.31405,0.000410409,0.000410409,0.000410409
74,601.025,0.4285,0.39499,0.99568,0.9093,0.89546,0.89984,0.77628,0.64317,0.71532,1.25962,0.000396262,0.000396262,0.000396262
75,608.738,0.44917,0.43498,1.00432,0.92461,0.76704,0.87669,0.73915,0.66654,0.82985,1.29359,0.000382115,0.000382115,0.000382115
76,616.49,0.44565,0.40994,1.00158,0.86897,0.8604,0.90192,0.75204,0.6748,0.74154,1.29215,0.000367967,0.000367967,0.000367967
77,624.18,0.44073,0.39274,0.99574,0.93216,0.87276,0.90945,0.79489,0.68339,0.65185,1.30076,0.00035382,0.00035382,0.00035382
78,632.049,0.44496,0.39245,0.99638,0.89775,0.86845,0.90285,0.77354,0.67826,0.70807,1.3215,0.000339673,0.000339673,0.000339673
79,639.795,0.45281,0.39815,1.01374,0.90624,0.86905,0.90847,0.77218,0.64592,0.63913,1.26073,0.000325526,0.000325526,0.000325526
80,647.454,0.4268,0.38405,0.98873,0.88039,0.86905,0.91397,0.76644,0.68762,0.6697,1.383,0.000311379,0.000311379,0.000311379
81,655.229,0.43489,0.37271,0.98873,0.8459,0.9069,0.90015,0.76233,0.66739,0.60785,1.34898,0.000297232,0.000297232,0.000297232
82,663.096,0.41649,0.38173,0.98526,0.89998,0.86905,0.88323,0.75108,0.68159,0.65968,1.28005,0.000283085,0.000283085,0.000283085
83,670.806,0.40192,0.36577,0.98751,0.90581,0.90581,0.91551,0.79473,0.66666,0.55627,1.30361,0.000268938,0.000268938,0.000268938
